461258.00,11.49,14.00,93287.98,256.18,-0.36,-2.86,-0.43,101.19,3.94,159.06,0.00,30.50,-2.88,-2.69,80.56,-5.25,0.67,-9.59,-1.89,-1.03,6.73,1.46,0.19,-0.75,0.62,-0.12,1.00,145.90,10.34,63.42,
461295.00,11.50,14.00,93263.29,258.40,-0.33,-2.75,-0.54,101.00,4.56,162.94,-0.38,30.00,-2.75,0.19,82.88,-1.00,0.78,-9.59,-1.86,-1.12,6.83,1.32,0.18,-0.75,0.63,-0.09,1.00,145.90,10.34,63.42,
461333.00,11.50,14.00,93239.58,260.53,-0.39,-2.86,-0.10,100.81,5.00,165.75,-0.38,30.00,-2.75,0.31,78.75,-4.12,0.88,-9.59,-1.83,-1.18,6.40,1.42,0.16,-0.75,0.63,-0.07,1.00,145.90,10.34,63.42,
461371.00,11.51,14.00,93230.66,261.34,-0.38,-3.16,-0.51,100.69,5.56,169.50,-0.38,29.69,-2.06,-2.38,79.31,-4.38,0.95,-9.58,-1.81,-1.34,6.41,1.30,0.14,-0.76,0.64,-0.05,1.00,145.90,10.34,63.42,
461411.00,11.51,14.00,93204.31,263.70,-0.37,-3.55,-0.26,100.56,6.31,173.31,-0.38,30.00,-1.75,-3.38,78.88,-2.50,1.07,-9.58,-1.78,-1.47,5.96,1.40,0.13,-0.76,0.64,-0.03,1.00,145.90,10.34,63.42,
461446.00,11.50,14.00,93173.73,266.46,-0.26,-4.09,-0.16,100.31,7.00,177.06,0.69,29.75,-2.50,-4.44,77.19,-4.81,1.20,-9.57,-1.75,-1.46,5.47,1.58,0.11,-0.76,0.64,-0.02,1.00,145.90,10.34,63.42,
461877.00,11.50,14.00,92936.71,287.81,-0.08,-4.10,-0.59,95.06,13.06,213.81,-1.06,29.75,-2.00,-7.00,73.38,4.88,2.21,-9.51,-0.85,-2.31,5.27,0.32,-0.05,-0.74,0.65,0.20,1.00,145.50,10.34,63.42,
461914.00,11.50,14.00,92915.64,289.71,-0.15,-4.75,-0.60,94.38,13.38,216.06,-1.38,30.50,-0.38,-3.62,68.56,7.44,2.28,-9.51,-0.69,-2.45,4.86,0.20,-0.06,-0.73,0.65,0.22,1.00,145.50,10.34,63.42,
461949.00,11.50,14.00,92902.47,290.89,-0.27,-4.50,-0.44,93.56,13.75,218.94,-0.69,30.25,-1.56,-7.50,66.06,1.62,2.33,-9.50,-0.60,-2.60,5.00,0.15,-0.07,-0.72,0.65,0.23,1.00,145.50,10.34,63.42,
461987.00,11.50,14.00,92891.94,292.32,-0.30,-4.55,-0.39,93.12,14.12,221.88,-0.69,30.25,-1.56,-6.31,65.94,-7.56,2.40,-9.49,-0.52,-2.72,5.09,0.18,-0.09,-0.72,0.64,0.25,1.00,145.50,10.34,63.42,
